objectid,filename,title,format,youtubeid,vimeoid,latitude,longitude,date,subject,location,creator,description,source,identifier,type,rights,rightsstatement
1_01_01,,Division 9 Wood Ceilings,,,,,,,Architecture,,FastTrack,"Division 9 wood ceilings. Standard stains on western hemlock, 9 panel wood sample. Manufactured by FastTrack @FT.9Wood.com",9Wood,Wood,Wood ceiling,,
1_01_02,,Timberwool,,,,,,,Architecture;Product Design,,secondskinauto.com,"Second Skin auto & home insulation. Timberwool. Sizes 24x96, Custom. Thickness: 5/8, 1-3/8, 2. Colors: Primed Clear, Primed White, Paintable. Edges: Square, Bevel, Tegular. Eco-friendly sound absorbing panels. Class A fire rated, NRC rated, Design Engravings www.secondskinauto.com",,,,,
1_01_03,,MiniChock Molded Cork Insulation,,,,,,,Architecture,,Muratto,Organic Blocks - MINICHOCK - Natural. Color infused molded cork shapes. E84 equates to Class A in assemblies (NFPA 2015). NRC = 0.30 (absorbs 50% of sound frequencies within human voice range). Available in 8 shapes and 13 colors. (720) 449-3063 / www.SustainableMaterials.com,sustainablematerials.com,insulation,cork,,
1_01_05,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor Red 4002. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_06,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_07,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor Orange 2008. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_08,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor Yellow 1018. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_09,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor Green 6025. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_10,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor Green 6029. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_11,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor Blue 5010. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_12,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor Blue 5024. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_13,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor Grey 7012. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_14,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor Grey 7001. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_15,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor White 9001. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_16,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KoskiDecor White 9003. Ideal for furniture and joinery. Environmentally friendly sourced wood, water-based paint and finish.",https://koskisen.fi/en/,Wood,plywood panel,,
1_01_17,,KoskiDecor,,,,,,,Product Design,,Koskisen,KoskiDecor Transparent. 120 g/m^2 melamine.,https://koskisen.fi/en/,Wood,plywood panel,,
